id,actor_id,year,coal_consumption_EJ
BP_review2022:coal-consumption:AE:1965,AE,1965,0.0
BP_review2022:coal-consumption:AE:1966,AE,1966,0.0
BP_review2022:coal-consumption:AE:1967,AE,1967,0.0
BP_review2022:coal-consumption:AE:1968,AE,1968,0.0
BP_review2022:coal-consumption:AE:1969,AE,1969,0.0
BP_review2022:coal-consumption:AE:1970,AE,1970,0.0
BP_review2022:coal-consumption:AE:1971,AE,1971,0.0
BP_review2022:coal-consumption:AE:1972,AE,1972,0.0
BP_review2022:coal-consumption:AE:1973,AE,1973,0.0
BP_review2022:coal-consumption:AE:1974,AE,1974,0.0
BP_review2022:coal-consumption:AE:1975,AE,1975,0.0
BP_review2022:coal-consumption:AE:1976,AE,1976,0.0
BP_review2022:coal-consumption:AE:1977,AE,1977,0.0
BP_review2022:coal-consumption:AE:1978,AE,1978,0.0
BP_review2022:coal-consumption:AE:1979,AE,1979,0.0
BP_review2022:coal-consumption:AE:1980,AE,1980,0.0
BP_review2022:coal-consumption:AE:1981,AE,1981,0.0
BP_review2022:coal-consumption:AE:1982,AE,1982,0.0
BP_review2022:coal-consumption:AE:1983,AE,1983,0.0
BP_review2022:coal-consumption:AE:1984,AE,1984,0.0
BP_review2022:coal-consumption:AE:1985,AE,1985,0.0
BP_review2022:coal-consumption:AE:1986,AE,1986,0.0
BP_review2022:coal-consumption:AE:1987,AE,1987,0.0
BP_review2022:coal-consumption:AE:1988,AE,1988,0.0
BP_review2022:coal-consumption:AE:1989,AE,1989,0.0
BP_review2022:coal-consumption:AE:1990,AE,1990,0.0
BP_review2022:coal-consumption:AE:1991,AE,1991,0.0
BP_review2022:coal-consumption:AE:1992,AE,1992,0.0
BP_review2022:coal-consumption:AE:1993,AE,1993,0.0
BP_review2022:coal-consumption:AE:1994,AE,1994,0.0
BP_review2022:coal-consumption:AE:1995,AE,1995,0.0
BP_review2022:coal-consumption:AE:1996,AE,1996,0.0
BP_review2022:coal-consumption:AE:1997,AE,1997,0.0
BP_review2022:coal-consumption:AE:1998,AE,1998,0.0
BP_review2022:coal-consumption:AE:1999,AE,1999,0.0
BP_review2022:coal-consumption:AE:2000,AE,2000,0.0
BP_review2022:coal-consumption:AE:2001,AE,2001,0.000774013716
BP_review2022:coal-consumption:AE:2002,AE,2002,0.003947398776
BP_review2022:coal-consumption:AE:2003,AE,2003,0.00464399856
BP_review2022:coal-consumption:AE:2004,AE,2004,0.005263184412
BP_review2022:coal-consumption:AE:2005,AE,2005,0.0060887795040000005
BP_review2022:coal-consumption:AE:2006,AE,2006,0.011790614952000001
BP_review2022:coal-consumption:AE:2007,AE,2007,0.005676002891999999
BP_review2022:coal-consumption:AE:2008,AE,2008,0.014370604848
BP_review2022:coal-consumption:AE:2009,AE,2009,0.01146680784
BP_review2022:coal-consumption:AE:2010,AE,2010,0.027550148832
BP_review2022:coal-consumption:AE:2011,AE,2011,0.018626193972000004
BP_review2022:coal-consumption:AE:2012,AE,2012,0.05787681595200001
BP_review2022:coal-consumption:AE:2013,AE,2013,0.07409149686000001
BP_review2022:coal-consumption:AE:2014,AE,2014,0.08260640136000001
BP_review2022:coal-consumption:AE:2015,AE,2015,0.07178971982400001
BP_review2022:coal-consumption:AE:2016,AE,2016,0.077061235968
BP_review2022:coal-consumption:AE:2017,AE,2017,0.089136972
BP_review2022:coal-consumption:AE:2018,AE,2018,0.080396168706
BP_review2022:coal-consumption:AE:2019,AE,2019,0.0827821381032
BP_review2022:coal-consumption:AE:2020,AE,2020,0.07914545431560001
BP_review2022:coal-consumption:AE:2021,AE,2021,0.07391956102773742
BP_review2022:coal-consumption:AR:1965,AR,1965,0.030438177071465594
BP_review2022:coal-consumption:AR:1966,AR,1966,0.02509854587589617
BP_review2022:coal-consumption:AR:1967,AR,1967,0.02822542915980998
BP_review2022:coal-consumption:AR:1968,AR,1968,0.0274285269917837
BP_review2022:coal-consumption:AR:1969,AR,1969,0.03283981198673134
BP_review2022:coal-consumption:AR:1970,AR,1970,0.04220135416802159
BP_review2022:coal-consumption:AR:1971,AR,1971,0.03699915130315722
BP_review2022:coal-consumption:AR:1972,AR,1972,0.031144661635787777
BP_review2022:coal-consumption:AR:1973,AR,1973,0.03418747912402024
BP_review2022:coal-consumption:AR:1974,AR,1974,0.04257331870448741
BP_review2022:coal-consumption:AR:1975,AR,1975,0.04143938504845019
BP_review2022:coal-consumption:AR:1976,AR,1976,0.04191330675389806
BP_review2022:coal-consumption:AR:1977,AR,1977,0.03963061109207022
BP_review2022:coal-consumption:AR:1978,AR,1978,0.0483091032944123
BP_review2022:coal-consumption:AR:1979,AR,1979,0.045006025783457936
BP_review2022:coal-consumption:AR:1980,AR,1980,0.040120522654445503
BP_review2022:coal-consumption:AR:1981,AR,1981,0.03801768194480252
BP_review2022:coal-consumption:AR:1982,AR,1982,0.038397874139419357
BP_review2022:coal-consumption:AR:1983,AR,1983,0.034847867611043734
BP_review2022:coal-consumption:AR:1984,AR,1984,0.025866805296863023
BP_review2022:coal-consumption:AR:1985,AR,1985,0.038158580742223905
BP_review2022:coal-consumption:AR:1986,AR,1986,0.04359365758903723
BP_review2022:coal-consumption:AR:1987,AR,1987,0.04838282201028164
BP_review2022:coal-consumption:AR:1988,AR,1988,0.04958045869814018
