id,actor_id,year,energy_consumption_EJ
BP_review2022:energy-consumption:AE:1965,AE,1965,0.003076319325485639
BP_review2022:energy-consumption:AE:1966,AE,1966,0.0032833481975050927
BP_review2022:energy-consumption:AE:1967,AE,1967,0.019464321433351982
BP_review2022:energy-consumption:AE:1968,AE,1968,0.02500096701414822
BP_review2022:energy-consumption:AE:1969,AE,1969,0.02508813054044385
BP_review2022:energy-consumption:AE:1970,AE,1970,0.03458012840433942
BP_review2022:energy-consumption:AE:1971,AE,1971,0.052696910000000007
BP_review2022:energy-consumption:AE:1972,AE,1972,0.05634054000000001
BP_review2022:energy-consumption:AE:1973,AE,1973,0.0730552
BP_review2022:energy-consumption:AE:1974,AE,1974,0.08026384
BP_review2022:energy-consumption:AE:1975,AE,1975,0.08589315000000002
BP_review2022:energy-consumption:AE:1976,AE,1976,0.10868485
BP_review2022:energy-consumption:AE:1977,AE,1977,0.17867339999999998
BP_review2022:energy-consumption:AE:1978,AE,1978,0.207002921
BP_review2022:energy-consumption:AE:1979,AE,1979,0.243217381
BP_review2022:energy-consumption:AE:1980,AE,1980,0.389363098
BP_review2022:energy-consumption:AE:1981,AE,1981,0.453342131
BP_review2022:energy-consumption:AE:1982,AE,1982,0.48947755000000004
BP_review2022:energy-consumption:AE:1983,AE,1983,0.469854986
BP_review2022:energy-consumption:AE:1984,AE,1984,0.5851684269999999
BP_review2022:energy-consumption:AE:1985,AE,1985,0.7258807170000001
BP_review2022:energy-consumption:AE:1986,AE,1986,0.8797940230000001
BP_review2022:energy-consumption:AE:1987,AE,1987,0.98307752
BP_review2022:energy-consumption:AE:1988,AE,1988,1.08677705
BP_review2022:energy-consumption:AE:1989,AE,1989,1.2245938120000002
BP_review2022:energy-consumption:AE:1990,AE,1990,1.241829713
BP_review2022:energy-consumption:AE:1991,AE,1991,1.5150147779999998
BP_review2022:energy-consumption:AE:1992,AE,1992,1.464104437
BP_review2022:energy-consumption:AE:1993,AE,1993,1.524493277
BP_review2022:energy-consumption:AE:1994,AE,1994,1.672826885
BP_review2022:energy-consumption:AE:1995,AE,1995,1.745535614
BP_review2022:energy-consumption:AE:1996,AE,1996,1.7988765220000003
BP_review2022:energy-consumption:AE:1997,AE,1997,1.8772430500000001
BP_review2022:energy-consumption:AE:1998,AE,1998,1.922806354
BP_review2022:energy-consumption:AE:1999,AE,1999,1.938128307
BP_review2022:energy-consumption:AE:2000,AE,2000,1.928814821
BP_review2022:energy-consumption:AE:2001,AE,2001,1.9496376747159998
BP_review2022:energy-consumption:AE:2002,AE,2002,2.130095299776
BP_review2022:energy-consumption:AE:2003,AE,2003,2.2721590665600004
BP_review2022:energy-consumption:AE:2004,AE,2004,2.4302354274119997
BP_review2022:energy-consumption:AE:2005,AE,2005,2.536553056504
BP_review2022:energy-consumption:AE:2006,AE,2006,2.668654647952
BP_review2022:energy-consumption:AE:2007,AE,2007,2.9460999118920004
BP_review2022:energy-consumption:AE:2008,AE,2008,3.378241947848
BP_review2022:energy-consumption:AE:2009,AE,2009,3.3320709394529033
BP_review2022:energy-consumption:AE:2010,AE,2010,3.5009700739859677
BP_review2022:energy-consumption:AE:2011,AE,2011,3.67535279001459
BP_review2022:energy-consumption:AE:2012,AE,2012,3.8667592230499994
