id,actor_id,year,renewable_consumption_EJ
BP_review2022:renewable-consumption:AE:1965,AE,1965,0.0
BP_review2022:renewable-consumption:AE:1966,AE,1966,0.0
BP_review2022:renewable-consumption:AE:1967,AE,1967,0.0
BP_review2022:renewable-consumption:AE:1968,AE,1968,0.0
BP_review2022:renewable-consumption:AE:1969,AE,1969,0.0
BP_review2022:renewable-consumption:AE:1970,AE,1970,0.0
BP_review2022:renewable-consumption:AE:1971,AE,1971,0.0
BP_review2022:renewable-consumption:AE:1972,AE,1972,0.0
BP_review2022:renewable-consumption:AE:1973,AE,1973,0.0
BP_review2022:renewable-consumption:AE:1974,AE,1974,0.0
BP_review2022:renewable-consumption:AE:1975,AE,1975,0.0
BP_review2022:renewable-consumption:AE:1976,AE,1976,0.0
BP_review2022:renewable-consumption:AE:1977,AE,1977,0.0
BP_review2022:renewable-consumption:AE:1978,AE,1978,0.0
BP_review2022:renewable-consumption:AE:1979,AE,1979,0.0
BP_review2022:renewable-consumption:AE:1980,AE,1980,0.0
BP_review2022:renewable-consumption:AE:1981,AE,1981,0.0
BP_review2022:renewable-consumption:AE:1982,AE,1982,0.0
BP_review2022:renewable-consumption:AE:1983,AE,1983,0.0
BP_review2022:renewable-consumption:AE:1984,AE,1984,0.0
BP_review2022:renewable-consumption:AE:1985,AE,1985,0.0
BP_review2022:renewable-consumption:AE:1986,AE,1986,0.0
BP_review2022:renewable-consumption:AE:1987,AE,1987,0.0
BP_review2022:renewable-consumption:AE:1988,AE,1988,0.0
BP_review2022:renewable-consumption:AE:1989,AE,1989,0.0
BP_review2022:renewable-consumption:AE:1990,AE,1990,0.0
BP_review2022:renewable-consumption:AE:1991,AE,1991,0.0
BP_review2022:renewable-consumption:AE:1992,AE,1992,0.0
BP_review2022:renewable-consumption:AE:1993,AE,1993,0.0
BP_review2022:renewable-consumption:AE:1994,AE,1994,0.0
BP_review2022:renewable-consumption:AE:1995,AE,1995,0.0
BP_review2022:renewable-consumption:AE:1996,AE,1996,0.0
BP_review2022:renewable-consumption:AE:1997,AE,1997,0.0
BP_review2022:renewable-consumption:AE:1998,AE,1998,0.0
BP_review2022:renewable-consumption:AE:1999,AE,1999,0.0
BP_review2022:renewable-consumption:AE:2000,AE,2000,0.0
BP_review2022:renewable-consumption:AE:2001,AE,2001,0.0
BP_review2022:renewable-consumption:AE:2002,AE,2002,0.0
